Timestamp,What's the maximum number of hours per week you are willing to study/do homework on a light week? ,What's the maximum number of hours per week you are willing to study/do homework on a heavy week? ,How many hours would you spend on a reading assignment (textbook/ article/ book etc.)? ,How many hours would you spend on an essay or presentation? ,How many hours would you spend on WEEKLY shorter tasks like reflections/ discussion posts/ journals/ quizzes/ labs? ,How many hours WEEKLY longer tasks (e.g. math problem sets etc. )? ,"How many hours would you spend on larger projects (e.g. coding assignments, longer bi-weekly homeworks)? ",How many hours would you spend TOTAL studying for an easier midterm? ,How many hours would you spend TOTAL studying for a harder midterm? ,How many hours would you spend TOTAL studying for an easier final? ,How many hours would you spend TOTAL studying for a harder final? ,How many hours would you spend TOTAL on a capstone project/ essay or research project spanning at least half the quarter? 
2/26/2026 18:45:41,10,25,5,7,0.5,2,4,7,12,9,16,10
2/26/2026 18:52:03,10,35,3,6,2,8,10,3,10,5,20,50
2/26/2026 18:55:13,10,25,0,0,1,8,7,5,20,10,30,40
2/27/2026 12:34:09,3,15,0.5,1,2,3,5,3,15,4,20,5
2/27/2026 12:38:45,10,8,3,5,2,4,6,4,10,3,20,30
2/27/2026 14:31:48,6,30,3,8,3,6,10,8,10,8,20,20
2/27/2026 15:28:48,8,12,4,6,3,6,14,5,12,5,14,20
2/27/2026 16:05:33,10,30,2,6,1,8,8,5,15,5,15,20
2/27/2026 16:18:54,10,20,1.5,5,1,2,3,5,10,6,15,30
2/27/2026 16:27:40,10,30,1,4,1,2,3,8,12,10,20,70
2/27/2026 16:32:49,21,30,1,5,1,5,9,10,24,15,36,8
2/27/2026 16:36:42,2,22,2,3,1,1,5,4,8,6,12,20
2/27/2026 16:41:08,20,50,1,10,0.5,10,16,10,30,15,40,80
2/27/2026 16:57:04,7,25,4,5,2,7,20,4,10,10,20,75
2/27/2026 17:05:26,20,35,2,3,1,3-4 hours,2.5,4,11,5,14,25
2/27/2026 19:27:04,10,30,1,9,4,5,6,5,20,10,20,30
2/28/2026 0:00:16,21,35,1,4,1,3,3,3,10,5,15,50
3/2/2026 12:22:15,10,25,3,7,1,3,3,5,20,5,25,70
3/4/2026 14:43:32,5,25,3,5,2,5,8,10,25,10,25,10
3/4/2026 14:43:41,7,20,2.5,6,1,4,8,4,8,4,12,50
3/4/2026 14:48:32,15,40,1,5,0.5,1,3,3,7,3,10,20
3/4/2026 14:53:33,5,17,1,3,0.5,2,2,6,15,6,15,20
3/4/2026 14:55:00,5,20,2,5,1,5,10,10,20,10,20,20
3/4/2026 15:21:36,14,50,2,4,1,14,18,2,7,2,14,40
3/4/2026 16:45:06,10,20,10,10,5,10,15,5,15,10,20,30